,Iterations,Depth,Learning_Rate,L2_leaf_reg,Score
81,1200.0,7.0,0.4,0.8,0.79546786411311
82,1200.0,7.0,0.4,0.9,0.7965154675633286
83,1200.0,7.0,0.4,1.0,0.7975299073174771
84,1200.0,8.0,0.01,0.8,0.8292265162272652
85,1200.0,8.0,0.01,0.9,0.8294089220847767
86,1200.0,8.0,0.01,1.0,0.8296088773873244
87,1200.0,8.0,0.02,0.8,0.830553661215649
88,1200.0,8.0,0.02,0.9,0.8303234505371601
89,1200.0,8.0,0.02,1.0,0.83030617754841
90,1200.0,8.0,0.03,0.8,0.8291227566539987
91,1200.0,8.0,0.03,0.9,0.8295979850096556
92,1200.0,8.0,0.03,1.0,0.8291968248221474
93,1200.0,8.0,0.4,0.8,0.7986662974685119
94,1200.0,8.0,0.4,0.9,0.7994165113627404
95,1200.0,8.0,0.4,1.0,0.7985248403160846
96,700.0,7.0,0.01,0.7,0.827129860695889
97,700.0,7.0,0.02,0.7,0.8292809559991069
98,700.0,7.0,0.03,0.7,0.8294740883605158
99,700.0,7.0,0.4,0.7,0.7963482557432964
100,700.0,8.0,0.01,0.7,0.8273660760049103
101,700.0,8.0,0.02,0.7,0.8294931859607536
102,700.0,8.0,0.03,0.7,0.829632365113384
103,700.0,8.0,0.4,0.7,0.7954311949513331
104,850.0,7.0,0.01,0.7,0.8279547177873412
105,850.0,7.0,0.02,0.7,0.8298134329224713
106,850.0,7.0,0.03,0.7,0.8297640467715379
107,850.0,7.0,0.4,0.7,0.7956597358338546
108,850.0,8.0,0.01,0.7,0.828148701634111
109,850.0,8.0,0.02,0.7,0.8297113652616752
110,850.0,8.0,0.03,0.7,0.829916794398686
111,850.0,8.0,0.4,0.7,0.796231469549833
112,1000.0,7.0,0.01,0.7,0.8286795198197593
113,1000.0,7.0,0.02,0.7,0.8301863061027945
114,1000.0,7.0,0.03,0.7,0.8295695653034534
115,1000.0,7.0,0.4,0.7,0.7951647353246222
116,1000.0,8.0,0.01,0.7,0.8287189756608991
117,1000.0,8.0,0.02,0.7,0.82973819257967
118,1000.0,8.0,0.03,0.7,0.8296372528605207
119,1000.0,8.0,0.4,0.7,0.796708113361674
120,1200.0,7.0,0.01,0.7,0.8292730161745727
121,1200.0,7.0,0.02,0.7,0.8302463634663682
122,1200.0,7.0,0.03,0.7,0.8295522038486917
123,1200.0,7.0,0.4,0.7,0.7947254684026499
124,1200.0,8.0,0.01,0.7,0.8293149380057836
125,1200.0,8.0,0.02,0.7,0.8298035247291806
126,1200.0,8.0,0.03,0.7,0.8293471175174756
127,1200.0,8.0,0.4,0.7,0.7977350599982019
128,900.0,7.0,0.01,0.7,0.8282456714409929
129,900.0,7.0,0.01,0.8,0.8279565645153317
130,900.0,7.0,0.01,0.9,0.8281763914957181
131,900.0,7.0,0.01,1.0,0.8281681088653892
132,900.0,7.0,0.02,0.7,0.8299959935955031
133,900.0,7.0,0.02,0.8,0.8298843384307081
134,900.0,7.0,0.02,0.9,0.8297687575866515
135,900.0,7.0,0.02,1.0,0.8296617800622159
136,900.0,7.0,0.03,0.7,0.829812470854596
137,900.0,7.0,0.03,0.8,0.8304281390035476
138,900.0,7.0,0.03,0.9,0.8305205085778303
139,900.0,7.0,0.03,1.0,0.8296977857289063
140,900.0,7.0,0.4,0.7,0.7952217074360437
141,900.0,7.0,0.4,0.8,0.794277498636794
142,900.0,7.0,0.4,0.9,0.7961297778695859
143,900.0,7.0,0.4,1.0,0.7983292640811074
144,900.0,8.0,0.01,0.7,0.8283282876375053
145,900.0,8.0,0.01,0.8,0.8283075976490599
146,900.0,8.0,0.01,0.9,0.8286137121654368
147,900.0,8.0,0.01,1.0,0.8288423083392156
148,900.0,8.0,0.02,0.7,0.8296917258071169
149,900.0,8.0,0.02,0.8,0.8303229860905996
150,900.0,8.0,0.02,0.9,0.8300539056582972
151,900.0,8.0,0.02,1.0,0.8300331603785946
152,900.0,8.0,0.03,0.7,0.8299008815748632
153,900.0,8.0,0.03,0.8,0.8292991357644752
154,900.0,8.0,0.03,0.9,0.8301448487181441
155,900.0,8.0,0.03,1.0,0.8299191829809971
156,900.0,8.0,0.4,0.7,0.7964677180336085
157,900.0,8.0,0.4,0.8,0.7954919379264961
158,900.0,8.0,0.4,0.9,0.7965891376344254
159,900.0,8.0,0.4,1.0,0.7954188539427255
160,1100.0,7.0,0.01,0.7,0.8289995013834425
161,1100.0,7.0,0.01,0.8,0.8288169296521593
162,1100.0,7.0,0.01,0.9,0.8289103276438261
163,1100.0,7.0,0.01,1.0,0.8288848051995013
164,1100.0,7.0,0.02,0.7,0.8301873898114358
165,1100.0,7.0,0.02,0.8,0.8302325074773131
166,1100.0,7.0,0.02,0.9,0.8300531536971992
167,1100.0,7.0,0.02,1.0,0.8298772722080376
168,1100.0,7.0,0.03,0.7,0.8294990357757657
169,1100.0,7.0,0.03,0.8,0.830308566130721
170,1100.0,7.0,0.03,0.9,0.8303717308629495
171,1100.0,7.0,0.03,1.0,0.8297210633481886
172,1100.0,7.0,0.4,0.7,0.7957920256958378
173,1100.0,7.0,0.4,0.8,0.7951156256299748
174,1100.0,7.0,0.4,0.9,0.7961080152307509
175,1100.0,7.0,0.4,1.0,0.7975105553774562
176,1100.0,8.0,0.01,0.7,0.829046277787036
177,1100.0,8.0,0.01,0.8,0.8289898917629407
178,1100.0,8.0,0.01,0.9,0.829218355237702
179,1100.0,8.0,0.01,1.0,0.8293776604079544
180,1100.0,8.0,0.02,0.7,0.8298856654208808
181,1100.0,8.0,0.02,0.8,0.8304751255139184
182,1100.0,8.0,0.02,0.9,0.8302569240964939
183,1100.0,8.0,0.02,1.0,0.8302589366982561
184,1100.0,8.0,0.03,0.7,0.8293020109098497
185,1100.0,8.0,0.03,0.8,0.829222966528553
186,1100.0,8.0,0.03,0.9,0.8297862959734363
187,1100.0,8.0,0.03,1.0,0.8295717769537414
188,1100.0,8.0,0.4,0.7,0.7979887031114934
189,1100.0,8.0,0.4,0.8,0.7980459848539554
190,1100.0,8.0,0.4,0.9,0.7988839680898674
191,1100.0,8.0,0.4,1.0,0.7972875104459007
